call_id,policy,severity,on_time
1,A,Low,1
2,A,Low,1
3,A,Low,1
4,A,Low,1
5,A,Low,1
6,A,Low,1
7,A,Low,1
8,A,Low,1
9,A,Low,1
10,A,Low,1
11,A,Low,1
12,A,Low,1
13,A,Low,1
14,A,Low,1
15,A,Low,1
16,A,Low,1
17,A,Low,1
18,A,Low,1
19,A,Low,1
20,A,Low,1
21,A,Low,1
22,A,Low,1
23,A,Low,1
24,A,Low,1
25,A,Low,1
26,A,Low,1
27,A,Low,1
28,A,Low,1
29,A,Low,1
30,A,Low,1
31,A,Low,1
32,A,Low,1
33,A,Low,1
34,A,Low,1
35,A,Low,1
36,A,Low,1
37,A,Low,1
38,A,Low,1
39,A,Low,1
40,A,Low,1
41,A,Low,1
42,A,Low,1
43,A,Low,1
44,A,Low,1
45,A,Low,1
46,A,Low,1
47,A,Low,1
48,A,Low,1
49,A,Low,1
50,A,Low,1
51,A,Low,1
52,A,Low,1
53,A,Low,1
54,A,Low,1
55,A,Low,1
56,A,Low,1
57,A,Low,1
58,A,Low,1
59,A,Low,1
60,A,Low,1
61,A,Low,1
62,A,Low,1
63,A,Low,1
64,A,Low,1
65,A,Low,1
66,A,Low,1
67,A,Low,1
68,A,Low,1
69,A,Low,1
70,A,Low,1
71,A,Low,1
72,A,Low,1
73,A,Low,1
74,A,Low,1
75,A,Low,1
76,A,Low,1
77,A,Low,1
78,A,Low,1
79,A,Low,1
80,A,Low,1
81,A,Low,1
82,A,Low,1
83,A,Low,1
84,A,Low,1
85,A,Low,1
86,A,Low,1
87,A,Low,1
88,A,Low,1
89,A,Low,1
90,A,Low,1
91,A,Low,1
92,A,Low,1
93,A,Low,1
94,A,Low,1
95,A,Low,1
96,A,Low,1
97,A,Low,1
98,A,Low,1
99,A,Low,1
100,A,Low,1
101,A,Low,1
102,A,Low,1
103,A,Low,1
104,A,Low,1
105,A,Low,1
106,A,Low,1
107,A,Low,1
108,A,Low,1
109,A,Low,1
110,A,Low,1
111,A,Low,1
112,A,Low,1
113,A,Low,1
114,A,Low,1
115,A,Low,1
116,A,Low,1
117,A,Low,1
118,A,Low,1
119,A,Low,1
120,A,Low,1
121,A,Low,1
122,A,Low,1
123,A,Low,1
124,A,Low,1
125,A,Low,1
126,A,Low,1
127,A,Low,1
128,A,Low,1
129,A,Low,1
130,A,Low,1
131,A,Low,1
132,A,Low,1
133,A,Low,1
134,A,Low,1
135,A,Low,1
136,A,Low,1
137,A,Low,1
138,A,Low,1
139,A,Low,1
140,A,Low,1
141,A,Low,1
142,A,Low,1
143,A,Low,1
144,A,Low,1
145,A,Low,1
146,A,Low,1
147,A,Low,1
148,A,Low,1
149,A,Low,1
150,A,Low,1
151,A,Low,1
152,A,Low,1
153,A,Low,1
154,A,Low,1
155,A,Low,1
156,A,Low,1
157,A,Low,1
158,A,Low,1
159,A,Low,1
160,A,Low,1
161,A,Low,1
162,A,Low,1
163,A,Low,1
164,A,Low,1
165,A,Low,1
166,A,Low,1
167,A,Low,1
168,A,Low,1
169,A,Low,1
170,A,Low,1
171,A,Low,1
172,A,Low,1
173,A,Low,1
174,A,Low,1
175,A,Low,1
176,A,Low,1
177,A,Low,1
178,A,Low,1
179,A,Low,1
180,A,Low,1
181,A,Low,1
182,A,Low,1
183,A,Low,1
184,A,Low,1
185,A,Low,1
186,A,Low,1
187,A,Low,1
188,A,Low,1
189,A,Low,1
190,A,Low,1
191,A,Low,1
192,A,Low,1
193,A,Low,1
194,A,Low,1
195,A,Low,1
196,A,Low,1
197,A,Low,1
198,A,Low,1
199,A,Low,1
200,A,Low,1
201,A,Low,1
202,A,Low,1
203,A,Low,1
204,A,Low,1
205,A,Low,1
206,A,Low,1
207,A,Low,1
208,A,Low,1
209,A,Low,1
210,A,Low,1
211,A,Low,1
212,A,Low,1
213,A,Low,1
214,A,Low,1
215,A,Low,1
216,A,Low,1
217,A,Low,1
218,A,Low,1
219,A,Low,1
220,A,Low,1
221,A,Low,1
222,A,Low,1
223,A,Low,1
224,A,Low,1
225,A,Low,1
226,A,Low,1
227,A,Low,1
228,A,Low,1
229,A,Low,1
230,A,Low,1
231,A,Low,1
232,A,Low,1
233,A,Low,1
234,A,Low,1
235,A,Low,1
236,A,Low,1
237,A,Low,1
238,A,Low,1
239,A,Low,1
240,A,Low,1
241,A,Low,1
242,A,Low,1
243,A,Low,1
244,A,Low,1
245,A,Low,1
246,A,Low,1
247,A,Low,1
248,A,Low,1
249,A,Low,1
250,A,Low,1
251,A,Low,1
252,A,Low,1
253,A,Low,1
254,A,Low,1
255,A,Low,1
256,A,Low,1
257,A,Low,1
258,A,Low,1
259,A,Low,1
260,A,Low,1
261,A,Low,1
262,A,Low,1
263,A,Low,1
264,A,Low,1
265,A,Low,1
266,A,Low,1
267,A,Low,1
268,A,Low,1
269,A,Low,1
270,A,Low,1
271,A,Low,0
272,A,Low,0
273,A,Low,0
274,A,Low,0
275,A,Low,0
276,A,Low,0
277,A,Low,0
278,A,Low,0
279,A,Low,0
280,A,Low,0
281,A,Low,0
282,A,Low,0
283,A,Low,0
284,A,Low,0
285,A,Low,0
286,A,Low,0
287,A,Low,0
288,A,Low,0
289,A,Low,0
290,A,Low,0
291,A,Low,0
292,A,Low,0
293,A,Low,0
294,A,Low,0
295,A,Low,0
296,A,Low,0
297,A,Low,0
298,A,Low,0
299,A,Low,0
300,A,Low,0
301,A,High,1
302,A,High,1
303,A,High,1
304,A,High,1
305,A,High,1
306,A,High,1
307,A,High,1
308,A,High,1
309,A,High,1
310,A,High,1
311,A,High,1
312,A,High,1
313,A,High,1
314,A,High,1
315,A,High,1
316,A,High,1
317,A,High,1
318,A,High,1
319,A,High,1
320,A,High,1
321,A,High,0
322,A,High,0
323,A,High,0
324,A,High,0
325,A,High,0
326,A,High,0
327,A,High,0
328,A,High,0
329,A,High,0
330,A,High,0
331,A,High,0
332,A,High,0
333,A,High,0
334,A,High,0
335,A,High,0
336,A,High,0
337,A,High,0
338,A,High,0
339,A,High,0
340,A,High,0
341,A,High,0
342,A,High,0
343,A,High,0
344,A,High,0
345,A,High,0
346,A,High,0
347,A,High,0
348,A,High,0
349,A,High,0
350,A,High,0
351,B,Low,1
352,B,Low,1
353,B,Low,1
354,B,Low,1
355,B,Low,1
356,B,Low,1
357,B,Low,1
358,B,Low,1
359,B,Low,1
360,B,Low,1
361,B,Low,1
362,B,Low,1
363,B,Low,1
364,B,Low,1
365,B,Low,1
366,B,Low,1
367,B,Low,1
368,B,Low,1
369,B,Low,1
370,B,Low,1
371,B,Low,1
372,B,Low,1
373,B,Low,1
374,B,Low,1
375,B,Low,1
376,B,Low,1
377,B,Low,1
378,B,Low,1
379,B,Low,1
380,B,Low,1
381,B,Low,1
382,B,Low,1
383,B,Low,1
384,B,Low,1
385,B,Low,1
386,B,Low,1
387,B,Low,1
388,B,Low,1
389,B,Low,1
390,B,Low,1
391,B,Low,1
392,B,Low,1
393,B,Low,1
