# 第一关地图（2020 国赛 B「穿越沙漠」官方附件数字化，共 27 个区域）
# 每行: 区域编号  类型  相邻区域编号(空格分隔)
# 类型: start=起点  end=终点  mine=矿山  village=村庄  plain=普通
# 邻接为无向、对称。来源数字化见 README「数据来源」。
1   start    2 25
2   plain    1 3
3   plain    2 4 25
4   plain    3 5 24 25
5   plain    4 6 24
6   plain    5 7 23 24
7   plain    6 8 22
8   plain    7 9 22
9   plain    8 10 15 16 17 21 22
10  plain    9 11 13 15
11  plain    10 12 13
12  mine     11 13 14
13  plain    10 11 12 14 15
14  plain    12 13 15 16
15  village  9 10 13 14 16
16  plain    9 14 15 17 18
17  plain    9 16 18 21
18  plain    16 17 19 20
19  plain    18 20
20  plain    18 19 21
21  plain    9 17 20 22 23 27
22  plain    7 8 9 21 23
23  plain    6 21 22 24 26
24  plain    4 5 6 23 25 26
25  plain    1 3 4 24 26
26  plain    23 24 25 27
27  end      21 26
